timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime,Connect
1652786550700,109,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-27,true,,28,28,https://www.bol.com/nl/nl/,60,1,0,0,22
1652786549685,109,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-27,true,,28,28,null,60,1,0,1019,22
1652786551698,114,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-28,true,,29,29,https://www.bol.com/nl/nl/,57,1,0,0,21
1652786550686,114,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-28,true,,29,29,null,57,1,0,1014,21
1652786552692,93,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-29,true,,30,30,https://www.bol.com/nl/nl/,56,1,0,0,22
1652786551686,93,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-29,true,,30,30,null,56,1,0,1007,22
1652786553690,100,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-30,true,,31,31,https://www.bol.com/nl/nl/,61,1,0,0,22
1652786552686,100,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-30,true,,31,31,null,61,1,0,1006,22
1652786554688,122,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-31,true,,32,32,https://www.bol.com/nl/nl/,67,1,0,0,23
1652786553685,122,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-31,true,,32,32,null,67,1,0,1004,23
1652786555699,115,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-32,true,,33,33,https://www.bol.com/nl/nl/,62,1,0,0,25
1652786554687,115,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-32,true,,33,33,null,62,1,0,1014,25
1652786556694,143,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-33,true,,34,34,https://www.bol.com/nl/nl/,66,1,0,0,22
1652786555685,143,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-33,true,,34,34,null,66,1,0,1010,22
1652786557694,119,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-34,true,,35,35,https://www.bol.com/nl/nl/,60,1,0,0,21
1652786556685,119,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-34,true,,35,35,null,60,1,0,1010,21
1652786558687,95,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-35,true,,36,36,https://www.bol.com/nl/nl/,64,1,0,0,26
1652786557685,95,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-35,true,,36,36,null,64,1,0,1004,26
1652786559697,89,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-36,true,,37,37,https://www.bol.com/nl/nl/,58,1,0,0,23
1652786558686,89,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-36,true,,37,37,null,58,1,0,1014,23
1652786560696,114,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-37,true,,38,38,https://www.bol.com/nl/nl/,62,1,0,0,24
1652786559684,114,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-37,true,,38,38,null,62,1,0,1013,24
1652786561695,114,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-38,true,,39,39,https://www.bol.com/nl/nl/,69,1,0,0,22
1652786560683,114,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-38,true,,39,39,null,69,1,0,1013,22
1652786562689,110,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-39,true,,40,40,https://www.bol.com/nl/nl/,59,1,0,0,22
1652786561684,110,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-39,true,,40,40,null,59,1,0,1006,22
1652786563701,96,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-40,true,,41,41,https://www.bol.com/nl/nl/,62,1,0,0,22
1652786562686,96,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-40,true,,41,41,null,62,1,0,1017,22
1652786564695,94,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-41,true,,42,42,https://www.bol.com/nl/nl/,58,1,0,0,22
1652786563686,94,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-41,true,,42,42,null,58,1,0,1010,22
1652786565693,95,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-42,true,,43,43,https://www.bol.com/nl/nl/,57,1,0,0,22
1652786564687,95,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-42,true,,43,43,null,57,1,0,1008,22
1652786566692,218,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-43,true,,44,44,https://www.bol.com/nl/nl/,205,1,0,0,65
1652786565685,218,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-43,true,,44,44,null,205,1,0,1009,65
1652786567693,210,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-44,true,,45,45,https://www.bol.com/nl/nl/,66,1,0,0,31
1652786566684,210,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-44,true,,45,45,null,66,1,0,1011,31
1652786568689,124,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-45,true,,46,46,https://www.bol.com/nl/nl/,86,1,0,0,51
1652786567685,124,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-45,true,,46,46,null,86,1,0,1006,51
1652786569701,111,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-46,true,,47,47,https://www.bol.com/nl/nl/,64,1,0,0,23
1652786568686,111,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-46,true,,47,47,null,64,1,0,1016,23
1652786570699,95,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-47,true,,48,48,https://www.bol.com/nl/nl/,55,1,0,0,21
1652786569685,95,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-47,true,,48,48,null,55,1,0,1015,21
1652786571693,92,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-48,true,,49,49,https://www.bol.com/nl/nl/,54,1,0,0,22
1652786570685,92,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-48,true,,49,49,null,54,1,0,1010,22
1652786572700,102,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-49,true,,50,50,https://www.bol.com/nl/nl/,60,1,0,0,23
1652786571685,102,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-49,true,,50,50,null,60,1,0,1017,23
1652786574695,96,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-51,true,,52,52,https://www.bol.com/nl/nl/,59,1,0,0,21
1652786573686,96,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-51,true,,52,52,null,59,1,0,1011,21
1652786573716,1156,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-50,true,,52,52,https://www.bol.com/nl/nl/,76,1,0,0,35
1652786572700,1156,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-50,true,,52,52,null,76,1,0,1017,35
1652786575693,123,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-52,true,,53,53,https://www.bol.com/nl/nl/,73,1,0,0,26
1652786574685,123,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-52,true,,53,53,null,73,1,0,1009,26
1652786576689,120,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-53,true,,54,54,https://www.bol.com/nl/nl/,57,1,0,0,19
1652786575685,120,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-53,true,,54,54,null,57,1,0,1006,19
1652786577687,179,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-54,true,,55,55,https://www.bol.com/nl/nl/,144,1,0,0,19
1652786576684,179,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-54,true,,55,55,null,144,1,0,1004,19
1652786578684,1113,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-55,true,,57,57,https://www.bol.com/nl/nl/,59,1,0,0,21
1652786577683,1113,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-55,true,,57,57,null,59,1,0,1003,21
1652786579700,114,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-56,true,,57,57,https://www.bol.com/nl/nl/,72,1,0,0,21
1652786578685,114,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-56,true,,57,57,null,72,1,0,1016,21
1652786580689,86,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-57,true,,58,58,https://www.bol.com/nl/nl/,57,1,0,0,22
1652786579685,86,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-57,true,,58,58,null,57,1,0,1007,22
1652786581687,100,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-58,true,,59,59,https://www.bol.com/nl/nl/,59,1,0,0,21
1652786580686,100,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-58,true,,59,59,null,59,1,0,1003,21
1652786582700,88,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-59,true,,60,60,https://www.bol.com/nl/nl/,56,1,0,0,23
1652786581685,88,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-59,true,,60,60,null,56,1,0,1017,23
1652786583703,120,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-60,true,,61,61,https://www.bol.com/nl/nl/,77,1,0,0,21
1652786582687,120,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-60,true,,61,61,null,77,1,0,1018,21
1652786584699,87,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-61,true,,62,62,https://www.bol.com/nl/nl/,53,1,0,0,20
1652786583687,87,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-61,true,,62,62,null,53,1,0,1014,20
1652786585699,85,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-62,true,,63,63,https://www.bol.com/nl/nl/,53,1,0,0,20
1652786584687,85,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-62,true,,63,63,null,53,1,0,1014,20
1652786586697,107,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-63,true,,64,64,https://www.bol.com/nl/nl/,61,1,0,0,23
1652786585685,107,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-63,true,,64,64,null,61,1,0,1015,23
1652786587699,118,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-64,true,,65,65,https://www.bol.com/nl/nl/,64,1,0,0,23
1652786586685,118,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-64,true,,65,65,null,64,1,0,1017,23
1652786588701,88,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-65,true,,66,66,https://www.bol.com/nl/nl/,57,1,0,0,21
1652786587685,88,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-65,true,,66,66,null,57,1,0,1018,21
1652786589700,124,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-66,true,,67,67,https://www.bol.com/nl/nl/,86,1,0,0,35
1652786588685,124,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-66,true,,67,67,null,86,1,0,1017,35
1652786590713,115,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-67,true,,68,68,https://www.bol.com/nl/nl/,62,1,0,0,24
1652786589700,115,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-67,true,,68,68,null,62,1,0,1015,24
1652786591698,96,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-68,true,,69,69,https://www.bol.com/nl/nl/,58,1,0,0,21
1652786590685,96,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-68,true,,69,69,null,58,1,0,1014,21
1652786592688,105,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-69,true,,70,70,https://www.bol.com/nl/nl/,62,1,0,0,21
1652786591685,105,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-69,true,,70,70,null,62,1,0,1004,21
1652786593688,121,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-70,true,,71,71,https://www.bol.com/nl/nl/,79,1,0,0,21
1652786592686,121,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-70,true,,71,71,null,79,1,0,1004,21
1652786594694,92,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-71,true,,72,72,https://www.bol.com/nl/nl/,58,1,0,0,23
1652786593686,92,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-71,true,,72,72,null,58,1,0,1010,23
1652786595702,89,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-72,true,,73,73,https://www.bol.com/nl/nl/,54,1,0,0,20
1652786594694,89,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-72,true,,73,73,null,54,1,0,1010,20
1652786596693,99,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-73,true,,74,74,https://www.bol.com/nl/nl/,56,1,0,0,21
1652786595686,99,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-73,true,,74,74,null,56,1,0,1010,21
1652786597693,90,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-74,true,,75,75,https://www.bol.com/nl/nl/,57,1,0,0,23
1652786596685,90,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-74,true,,75,75,null,57,1,0,1010,23
1652786598702,93,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-75,true,,76,76,https://www.bol.com/nl/nl/,55,1,0,0,21
1652786597692,93,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-75,true,,76,76,null,55,1,0,1012,21
1652786599698,107,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-76,true,,77,77,https://www.bol.com/nl/nl/,72,1,0,0,22
1652786598685,107,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-76,true,,77,77,null,72,1,0,1016,22
1652786600695,111,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-77,true,,78,78,https://www.bol.com/nl/nl/,56,1,0,0,23
1652786599685,111,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-77,true,,78,78,null,56,1,0,1012,23
1652786601694,90,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-78,true,,79,79,https://www.bol.com/nl/nl/,58,1,0,0,22
1652786600685,90,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-78,true,,79,79,null,58,1,0,1011,22
1652786602694,106,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-79,true,,80,80,https://www.bol.com/nl/nl/,62,1,0,0,21
1652786601685,106,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-79,true,,80,80,null,62,1,0,1012,21
1652786603709,91,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-80,true,,81,81,https://www.bol.com/nl/nl/,59,1,0,0,22
1652786602694,91,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-80,true,,81,81,null,59,1,0,1017,22
1652786604699,95,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-81,true,,82,82,https://www.bol.com/nl/nl/,58,1,0,0,22
1652786603687,95,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-81,true,,82,82,null,58,1,0,1014,22
1652786605687,90,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-82,true,,83,83,https://www.bol.com/nl/nl/,55,1,0,0,21
1652786604686,90,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-82,true,,83,83,null,55,1,0,1003,21
1652786606691,93,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-83,true,,84,84,https://www.bol.com/nl/nl/,58,1,0,0,20
1652786605686,93,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-83,true,,84,84,null,58,1,0,1007,20
