timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1652793771568,650,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-66,text,false,Test failed: text expected to contain /Shop de look/,2865,0,109,109,https://www.bol.com/nl/nl/,0,0,638
1652793771157,979,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-39,text,false,Test failed: text expected to contain /Shop de look/,2865,0,100,100,https://www.bol.com/nl/nl/,0,0,950
1652793771929,213,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-82,text,false,Test failed: text expected to contain /Shop de look/,2865,0,101,101,https://www.bol.com/nl/nl/,0,0,181
1652793772403,54,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-122,text,false,Test failed: text expected to contain /Shop de look/,2865,0,125,125,https://www.bol.com/nl/nl/,0,0,47
1652793770773,1432,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-8,text,false,Test failed: text expected to contain /Shop de look/,2865,0,107,107,https://www.bol.com/nl/nl/,0,0,1411
1652793771003,1123,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-28,text,false,Test failed: text expected to contain /Shop de look/,2865,0,100,100,https://www.bol.com/nl/nl/,0,0,1102
1652793770773,1356,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-1,text,false,Test failed: text expected to contain /Shop de look/,2865,0,100,100,https://www.bol.com/nl/nl/,0,0,1327
1652793771203,1041,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-42,text,false,Test failed: text expected to contain /Shop de look/,2865,0,110,110,https://www.bol.com/nl/nl/,0,0,1018
1652793771061,1121,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-32,text,false,Test failed: text expected to contain /Shop de look/,2865,0,106,106,https://www.bol.com/nl/nl/,0,0,1106
1652793772554,70,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-132,text,false,Test failed: text expected to contain /Shop de look/,2865,0,136,136,https://www.bol.com/nl/nl/,0,0,61
1652793772747,71,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-145,text,false,Test failed: text expected to contain /Shop de look/,2865,0,149,149,https://www.bol.com/nl/nl/,0,0,62
1652793772387,55,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-121,text,false,Test failed: text expected to contain /Shop de look/,2865,0,124,124,https://www.bol.com/nl/nl/,0,0,51
1652793771939,195,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-84,text,false,Test failed: text expected to contain /Shop de look/,2865,0,100,100,https://www.bol.com/nl/nl/,0,0,167
1652793772716,64,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-143,text,false,Test failed: text expected to contain /Shop de look/,2865,0,147,147,https://www.bol.com/nl/nl/,0,0,56
1652793771789,361,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-78,text,false,Test failed: text expected to contain /Shop de look/,2865,0,100,100,https://www.bol.com/nl/nl/,0,0,337
1652793772858,119,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-152,text,false,Test failed: text expected to contain /Shop de look/,2865,0,160,160,https://www.bol.com/nl/nl/,0,0,105
1652793772626,63,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-137,text,false,Test failed: text expected to contain /Shop de look/,2865,0,141,141,https://www.bol.com/nl/nl/,0,0,58
1652793770792,1420,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-13,text,false,Test failed: text expected to contain /Shop de look/,2865,0,109,109,https://www.bol.com/nl/nl/,0,0,1413
1652793771943,280,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-90,text,false,Test failed: text expected to contain /Shop de look/,2865,0,109,109,https://www.bol.com/nl/nl/,0,0,270
